keyword,clause_type
administration,"Administration, Application, & Structure"
agreement,"Licence, Permitting, & Exemptions"
amended,Interpretation & Purpose
application,"Administration, Application, & Structure"
applies,"Administration, Application, & Structure"
apply,"Administration, Application, & Structure"
area,Designation
authorization,Authorization & Mandate
authorizations,Authorization & Mandate
boundary,Designation
class,Designation
classes,Designation
definition,Interpretation & Purpose
definitions,Interpretation & Purpose
designate,Designation
designation,Designation
district,Designation
establish,Designation
established,Designation
establishment,Designation
exception,"Licence, Permitting, & Exemptions"
exceptions,"Licence, Permitting, & Exemptions"
exempt,"Licence, Permitting, & Exemptions"
exemption,"Licence, Permitting, & Exemptions"
exemtions,"Licence, Permitting, & Exemptions"
granting,Authorization & Mandate
instruction,Instruction
lands,Designation
licence,"Licence, Permitting, & Exemptions"
licencing,"Licence, Permitting, & Exemptions"
license,"Licence, Permitting, & Exemptions"
licensee,"Licence, Permitting, & Exemptions"
limit,"Prohibition, Restriction, or Limitation"
limitation,"Prohibition, Restriction, or Limitation"
limitations,"Prohibition, Restriction, or Limitation"
limits,"Prohibition, Restriction, or Limitation"
may,Authorization & Mandate
means,Interpretation & Purpose
must,Instruction
must not,"Prohibition, Restriction, or Limitation"
no person,"Prohibition, Restriction, or Limitation"
no persons,"Prohibition, Restriction, or Limitation"
objective,Interpretation & Purpose
objectives,Interpretation & Purpose
obligation,Instruction
obligations,Instruction
permit,"Licence, Permitting, & Exemptions"
permits,"Licence, Permitting, & Exemptions"
permitted,"Licence, Permitting, & Exemptions"
permitting,"Licence, Permitting, & Exemptions"
power,Authorization & Mandate
powers,Authorization & Mandate
preclude,Interpretation & Purpose
prescribe,Designation
prescribed,Designation
prohibition,"Prohibition, Restriction, or Limitation"
prohibitions,"Prohibition, Restriction, or Limitation"
property,Designation
purpose,Interpretation & Purpose
quota,"Licence, Permitting, & Exemptions"
quotas,"Licence, Permitting, & Exemptions"
restrict,"Prohibition, Restriction, or Limitation"
restriction,"Prohibition, Restriction, or Limitation"
restrictions,"Prohibition, Restriction, or Limitation"
role,Authorization & Mandate
shall,Instruction
shall not,"Prohibition, Restriction, or Limitation"
tag,"Licence, Permitting, & Exemptions"
unless,"Licence, Permitting, & Exemptions"
